Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.7886178861788617,0.7596153846153846,0.9875,0.8586956521739131,0.7136627906976745
K-Nearest Neighbors,0.6829268292682927,0.6880733944954128,0.9375,0.7936507936507936,0.6771802325581394
Decision Tree,0.6747967479674797,0.7380952380952381,0.775,0.7560975609756098,0.6316860465116279
Support Vector Machine,0.7886178861788617,0.7596153846153846,0.9875,0.8586956521739131,0.7380813953488372
Gaussian Naive Bayes,0.7886178861788617,0.7596153846153846,0.9875,0.8586956521739131,0.7122093023255814
Random Forest,0.7723577235772358,0.76,0.95,0.8444444444444444,0.745203488372093
