Model,CV Accuracy Mean,CV Accuracy Std,CV F1 Mean,CV F1 Std,CV ROC-AUC Mean,CV ROC-AUC Std
Logistic Regression,0.7508863121418099,0.03390127138285129,0.821593782319861,0.02695057955877822,0.7482604323780795,0.04214966316094706
K-Nearest Neighbors,0.7883246701319473,0.018027304135128975,0.8584358246124507,0.011857193424113576,0.7215474111371944,0.05314632057107961
Decision Tree,0.7556177528988405,0.02560927662487199,0.8291462980609626,0.02862775312774294,0.6788626449230164,0.020864986333358877
Support Vector Machine,0.7769558843129414,0.03312854495256394,0.8503840128677662,0.023673251805747277,0.7562650593300748,0.03432408936115153
Gaussian Naive Bayes,0.7638677862188459,0.0209352157577412,0.8397241266095243,0.014971022911613653,0.7126986773116805,0.016134830652662524
Random Forest,0.7980674396907903,0.014611429835803628,0.864326411258214,0.00995530318159904,0.7767172928550636,0.03235358505935019
Voting Classifier (Soft),0.7866853258696522,0.022301296373667828,0.8579989717719927,0.015759475138101817,0.7738281223420543,0.022321810419560485
Stacking Classifier,0.7931893909103025,0.020021640478140704,0.8636045929251146,0.013247785910062114,0.7642080313906939,0.025662577635191124
