Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC,PR-AUC
Logistic Regression,0.8292682926829268,0.8636363636363636,0.8941176470588236,0.8786127167630058,0.8452012383900929,0.8983919068046969
K-Nearest Neighbors,0.8536585365853658,0.8526315789473684,0.9529411764705882,0.9,0.8044891640866874,0.8519108768663917
Decision Tree,0.6910569105691057,0.8852459016393442,0.6352941176470588,0.7397260273972602,0.8396284829721363,0.8852848669192336
Support Vector Machine,0.8617886178861789,0.8541666666666666,0.9647058823529412,0.9060773480662984,0.8377708978328173,0.9017320660323512
Gaussian Naive Bayes,0.8536585365853658,0.8383838383838383,0.9764705882352941,0.9021739130434783,0.8291021671826626,0.8781116782787889
Random Forest,0.8373983739837398,0.8421052631578947,0.9411764705882353,0.8888888888888888,0.8069659442724457,0.8752351841495266
